entnum;Ellix;fj;score;nom
500699988;IE4;5499;4;DISANEO
503217119;IE4;5498;2;HARMONIE
789858719;IE4;5498;3;ATTITUDE PAYSAGE
837050764;IE4;5710;4;SOMEGA DU CENTRE
391683810;IE4;5499;2;MAGAR OSSATURE
531952539;IE4;5499;2;LE CLOS DE LAMBERVILLE
442315354;IE4;5499;5;LEVALLOIS SOLEIL
509203998;IE4;5498;7;COPILORG
508628039;IE4;5498;5;EURL E BELLON
521863795;IE4;5202;2;SAINT BENOIT
513205344;IE4;5499;5;AROLLA
450734744;IE4;5710;6;CELEONET
494843451;NA;5498;0;LES PROFESSIONNELS DE L'HABITAT FRANCAIS
530559129;IE4;5498;3;EURL JOSEPH
494843451;NA;5498;0;LES PROFESSIONNELS DE L'HABITAT FRANCAIS
487816233;IE4;5499;5;LES PAINS DES ILES
509203998;IE4;5498;7;COPILORG
513429019;IE4;5499;2;LOISIRS-DEVELOPPEMENT - 04
382193894;IE4;5720;2;CVP
504705195;IE4;5485;6;PHARMACIE DU VILLAGE
440988392;IE4;5498;5;ASSISTANCE CONSEIL SOCIAL INTER ENTREPR
533341681;NA;5499;0;LIBRE AIRE
353815012;IE4;5499;5;L'HERBIER PRODUCTION
520496969;IE4;5499;5;LORAH
450015250;IE4;5499;4;LE SYDIAM'S HOTEL
337493860;IE4;5710;5;CTRE THALASSO ESTHETIQUE GD DELTA
403479405;IE4;5499;3;S.A.R.L. CALVEZ PANIFICATION
794520486;IE4;5498;4;CARRE VOP
488121096;IE4;5499;7;TIBERMONT ANTIQUITES
505186502;IE4;5498;4;OUAMARA TRAITEUR
411223720;IE4;5498;3;COUPIGNY SERVICES
788732816;IE4;5499;4;AGRI-BIZEAU
488124132;NA;1200;7;BLANCHARD ISABELLE nee GRANDI
480250158;IE4;5710;5;SOL IMMO
484667191;IE1;5499;1;TED DEMOLITION
529825655;IE4;5710;6;BRAND BROTHERS
523345809;IE4;5498;3;CONSEIL ASSURANCE PLACEMENT MEDITERRANEE
497748202;IE4;5498;5;AVEL VOR TECHNOLOGIES AVT
751570425;IE4;5710;4;RENT PARADISE
789046307;IE4;5499;4;SARL FRANCE CREATION DIFFUSION
752375246;IE3;5710;1;QUALI-POMPAGE
539615526;IE4;5498;5;ACEANE SERVICES
539615526;IE4;5498;5;ACEANE SERVICES
753175041;IE4;5498;5;EURL AULNAY IMMO
510032030;IE4;5498;1;EURL LECOCQ
339436347;IE4;5498;8;IMMOBILIER ET INFORMATIQUE
522965532;IE4;5720;4;GROUPE UNIC PARTNER
391197761;IE4;5499;4;CABINET JACQUES ROUBILLE S.A.R.L.
523538734;IE4;5499;3;SPORTBAZAR
789729811;IE4;5498;4;TWECBA
753848498;IE3;5499;1;HIPPO FLO
500451679;IE4;5499;4;URBAN FACTORY
500547260;IE4;5498;4;NOBILITO SARL
