Date,Open,High,Low,Close,Volume,Adj Close
2015-06-18,112.60,113.75,111.05,113.75,965600,113.75
2015-06-17,113.70,114.30,112.35,113.00,1038300,113.00
2015-06-16,112.05,113.55,111.15,113.30,1074900,113.30
2015-06-15,113.15,113.95,112.45,112.75,1193500,112.75
2015-06-12,116.65,116.95,113.65,114.90,965400,114.90
2015-06-11,116.00,118.45,115.45,117.20,1223900,117.20
2015-06-10,112.80,116.10,112.10,115.65,1156800,115.65
2015-06-09,112.80,113.65,111.65,113.20,912000,113.20
2015-06-08,113.70,114.15,112.75,112.85,761800,112.85
2015-06-05,114.85,115.55,113.90,114.00,849900,114.00
2015-06-04,116.05,117.15,113.85,115.95,877800,115.95
2015-06-03,116.60,118.45,115.85,117.20,667400,117.20
2015-06-02,118.05,118.05,115.30,116.05,870500,116.05
2015-06-01,117.45,118.45,116.45,117.45,711800,117.45
2015-05-29,120.10,120.45,117.00,117.30,1198100,117.30
2015-05-28,119.70,120.60,118.80,120.05,558500,120.05
2015-05-27,117.80,120.40,117.60,120.15,914100,120.15
2015-05-26,118.70,119.40,116.80,117.15,633500,117.15
2015-05-25,119.15,119.15,117.70,118.35,75000,118.35
2015-05-22,118.90,119.15,118.20,118.55,474400,118.55
2015-05-21,118.30,118.85,117.55,118.70,417800,118.70
2015-05-20,118.45,118.75,117.60,118.45,520400,118.45
2015-05-19,116.50,119.00,116.50,118.55,855300,118.55
2015-05-18,115.70,116.25,114.35,116.00,722500,116.00
2015-05-15,118.90,119.25,116.80,117.30,759400,114.75
2015-05-14,116.30,118.60,115.60,118.35,556500,115.7772
2015-05-13,117.55,119.10,116.30,116.65,736300,114.1141
2015-05-12,117.85,118.10,115.80,117.15,951400,114.6033
2015-05-11,120.50,120.50,118.75,118.85,746500,116.2663
2015-05-08,117.35,120.60,117.00,120.60,1016900,117.9783
2015-05-07,116.30,116.70,114.60,116.30,1063400,113.7717
2015-05-06,115.95,117.70,115.20,116.75,887500,114.212
2015-05-05,118.25,119.80,116.05,116.05,829100,113.5272
2015-05-04,117.90,119.40,116.95,118.60,658000,116.0217
2015-05-01,116.80,116.80,116.80,116.80,000,114.2609
2015-04-30,115.80,117.15,114.75,116.80,1226600,114.2609
2015-04-29,119.45,120.35,116.00,116.00,1076100,113.4783
2015-04-28,121.05,121.05,118.35,119.30,787800,116.7065
2015-04-27,119.40,121.75,117.65,121.35,1013500,118.712
2015-04-24,119.90,120.05,118.40,119.30,1066000,116.7065
2015-04-23,123.05,123.35,120.35,121.10,1087100,118.4674
2015-04-22,123.75,123.95,121.55,122.80,768200,120.1304
2015-04-21,121.45,123.30,121.45,123.20,1005200,120.5217
2015-04-20,120.00,121.10,119.90,121.00,890700,118.3696
2015-04-17,121.10,122.00,119.50,119.85,1606300,117.2446
2015-04-16,122.05,122.15,120.75,121.50,907100,118.8587
2015-04-15,122.35,123.15,122.00,122.55,706700,119.8859
